"property_id","price","bed_count","bath_count","type","sqft","parking_type","build_year","address","city","zipcode","photo_count","video_count","description"
"39","1640000","5","4","House","3079","Carport","1978","3947 Pleasant Hollow Ln","San Jose","95148","2","0","Back on the market!!  Magnificent views!!   Own your own massive piece of Silicon Valley real estate.  This rarely found huge lot boasts an astounding 2.67 acres of very usable land located off of a private road.  Featuring two huge housing structures with the plans and approvals to match.  The main house is nearly 3100 square feet, 5 bedrooms and 3 1/2 baths of luxurious appointed living.  Huge windows in the the open-plan entertainment area, gorgeous hardwood floors through out, crown molding in key rooms, granite counter tops in the kitchen, floor-to ceiling chimney, and a spa like master bathroom round out this executive house.  The second property is 2,086 square feet of blank-slate for the savvy buyer.  House other members of the family, rent it out monthly for a large income, or turn it into a premier AirBnb type destination; the sky is literally the limit.  This property is an absolute must see for the intelligent home hunter."
"40","1179000","4","3","Townhouse","2373","Carport","2013","3281 Archbury Ct","San Jose","95148","3","0","Beautiful East Foothill home featuring 4 bedrooms, 2 bathrooms, separate living and dining rooms all within 1398 square feet of living space.  Original hardwood flooring throughout most of the home.  Updated kitchen with island facing dining area.  Updated bathrooms. Open courtyard in front yard.  Attached 2 car garage with newer electric opener and insulated garage door.  Laundry area located in garage with gas hook up and 220 volt hook up. Fenced in back yard.  Conveniently located within walking distance to Cedar Grove Elementary School.  A must see to truly appreciate!"
"41","375000","3","2","Manufactured","1770","Carport","2004","2920 Glen Craig Ct","San Jose","95148","1","0","Appreciate rest & recuperation with your own 1 acre piece of land to bring your peace & tranquility among nature with panoramic views day& night. Enjoy stunning views of the entire South Bay Area on this property of nearly 1 acre, with 440 ft of elevation you have the feeling of being in the clouds and immersed in a completely different world. Newer paved road across from a 33 acre ranch on the opposite side where you will witness cattle & horses. Entertain families and friends with a large patio & enclosed yard for a summer cookout or New Years, and 4th of July to witness the best fireworks. Custom build your own Silicon Valley home: authorized building site approval given by Santa Clara County, to build a luxurious large home with your personal vision in the hills of Silicon Valley & San Jose. The owner also has the potential to add an additionally living unit on the property, equipped with its own kitchen and bathroom - per seller, buyer to verify. See Video in Virtual Tour Below"
"42","824000","3","2","Townhouse","1216","Parking garage","1988","3128 Coldwater Dr","San Jose","95148","3","0","Price reduced 90K! Motivated Sellers! Location! Location! Location! This gorgeous home is in the desirable Evergreen neighborhood featuring EXCELLENT SCHOOLS! This spacious home features 2,251 sqft of living space, a 5871 sqft lot with 5 bedrooms, and 4 bathrooms built in 1987 all with a newly painted interior. The garage has been converted into a separate living area with a full bedroom and a bathroom with permits. It's within walking distance from the local bi-weekly farmers market, Village Square Library, and various other convenient markets and eateries. Schools: Millbrook Elementary, Quimby Oak Middle and TOP-RATED Evergreen Valley High School."
"43","500000","2","2","Condo","996","Parking garage","2005","2174 Fairmont Ct","San Jose","95148","3","0","Luxury Home in Evergreen with $130,000 upgraded from builder !!  **  A+  SHOOLS !! ** Living featuring high soaring ceilings, open-floor plan with an impressive living room, formal dining room , family room with a full bar** Six large bedroom suites with 4.5 baths, huge gourmet kitchen, top of the line appliances, two fireplaces**Wide hallways, custom paint, custom molding,  hardwood flooring. Large master bedroom with vaulted ceiling, oversized walk-in closet and granite slab and jacuzzi tub. Large kitchen offers plenty of cabinets with granite counter tops and matching backslash **Central vacuum & intercom systems **The well-kept and low maintenance backyard and front yard ** Near Schools,  shopping center , super markets , restaurant and much more ..."
"44","1098000","4","2","House","1316","Parking garage","1955","645 Coakley Dr","San Jose","95117","4","0","Wonderful opportunity to step into home ownership in Silicon Valley. With a little clean up, this is completely livable as-is or a blank canvas to make it your own. Great floor plan with some updates in bathrooms. Massive family room with cozy wood burning fireplace and large eat in kitchen. Prime location with easy commute routes. Close to Valley Fair and Santana Row. The larger 7684 sq ft lot allows for expansion possibilities. The long driveway allows for plenty of off street parking. This is a diamond in the rough waiting just for you!"
"45","625000","3","2","Condo","1200","Parking garage","1963","1359 Phelps Ave","San Jose","95117","3","0","WELCOME HOME!  Highly sought after floor plan spanning across a single level, featuring 3 bedrooms, 2 baths and at 1,200 square feet provides for spacious, work from home convenience.  Expansive living room opens to a private, sun-drenched living room.  This unit is in a premium location, and just minutes from the new Apple campus, downtown Campbell, Pruneyard Shopping Center, Archbishop Mitty High School, Presentation High School, parks, and major freeways.  This unit boasts many upgrades, remodeled kitchen with granite counters, dual pane windows, updated baths, wall to wall carpets, easy care laminate floors.  New interior texture and paint.  This is a must see!"
"46","698000","1","1","Condo","768","Parking garage","1984","698 Blackford Ct","San Jose","95117","4","0","A window of opportunity is here, don't pull down the shades on this one. Excellent location!  Gorgeously remodeled in one of the Silicon Valley's most prime locations close proximity to Apple and Downtown San Jose (proposed Google Campus) and a short distance to Santana Row Featuring 2-bedroom 1.5 bathroom condo comprises of a beautiful living space. Remodeled recently throughout this home has quartz countertops, new kitchen cabinetry newer stainless appliances in kitchen and laundry, new designer flooring throughout.  Remodeled bathrooms and indoor laundry space. This living space epitomizes pride in ownership. This designer  kitchen is complete with beautiful quartz countertops, soft close cabinetry with a bronze no touch faucet and a custom side pantry.  Your in unit laundry has nice cabinetry and quartz counter with plenty of space. This home boasts an  intuitive Nest thermostat, Milgard dual pane windows,  plank flooring and recessed lighting...too many upgrades to list here!"
"47","1499950","3","3","House","1968","Carport","2014","3412 Chitgar Pl","San Jose","95117","5","0","Your Next Home Sweet Home! Enjoy this updated 2BR/2.5BA townhome with PUD ownership (own the lot) in the desirable Stonecrest community and Moreland School District. Only common walls at garages. Two master suites, one with walk-in closet. Beautiful kitchen with cherry cabinets, granite counters and stainless steel appliances. Private backyard and inside laundry. Extra storage in garage attic w/pull down stairs. Conveniently located near Mitsuwa Marketplace, Paris Baquette, Daiso, great dining and shopping. Easy access to commuter routes including Hwy 280, 85, San Tomas Expressway and less than 3 miles to Apple Park. Neighborhood schools include Easterbrook Discovery Elementary, Moreland Middle and Prospect High. See disclosure pkg link for in-person visit rules."
"48","1698000","4","3","House","1920","Carpot","1961","1200 Eden Ave","San Jose","95117","6","0","Recently Expanded & Upgraded with permits. Airy, Well-lit, Centrally located, Cypress Home. With renovations, now a 3 bed, 2 bath on a quiet street. Excellent location near to Santana Row, Westfield Valley Fair. Great commute to Apple, Nvidia & the proposed Google Village in downtown San Jose. Easy access to 280, San Tomas Expy & Hwy 880 / 17. Multiple upgrades include Double pane, low-e Milgard Windows, New Engineered Wood Floor throughout, Recessed lighting, deep closets w/cedar floors. Kitchen with granite countertops, stainless steel appliances, deep stainless sink and eat-in granite counter. Backyard with grass lawn and Sprinklers. New landscaping in front with auto-sprinklers and new Driveway. Security lights, New Garage Door with EV hook-up in garage. ""You will love this Move-In Ready Home! """
"49","949000","3","3","Townhouse","1368","Carport","1972","1320 Charmwood Sq","San Jose","95117","1","0","Highly desirable West San Jose  home.  Bright and spacious. Separate living room, family room and dining area. Updated open kitchen with granite counters, stainless steel appliances, wood  cabinets with pull out drawers & lazy susan for easy access.  Fresh interior and exterior paint.  New interior doors. New luxury laminate flooring.  New recessed lighting.  New bathroom mirrors, vanity lighting, medicine cabinets.  Enjoy 4 spacious bedrooms.  Convenient ""inside"" laundry with washer and dryer. AC, water softener and solar for extra savings and comfort. Backyard patio for entertaining. Delicious  lemon, mandarin orange, asian pear and kumquat trees. Automatic sprinklers & drip system. Walk to Starbird Park.  Close to Santana Row, Valley Fair, DT Campbell, restaurants, shops. Easy commute to SV tech companies, 280/880/85.  Don't Miss This One!"
"50","1495000","4","4","Townhouse","2100","Carport","2017","3790 Williams Rd","San Jose","95117","4","0","A Fantastic Home Ideally Situated on a Quiet Cul-de-sac w/ Highly Sought-after Eden Neighborhood  and award winning blue ribbon school ( Payne elementary) *Great floorplan w/ high ceiling & abundant natural lighting in the living room *Gorgeous kitchen features fantastic island w/ quartz countertop, pull down faucet, shaker style cabinets & tile full backsplash *Samsung gas stovetop, Sharp built in oven & Whirlpool refrigerator *Recessed lighting and 2 pendant lightings in kitchen *Sufficient storage w/ 3-door sliding door closet in the bedroom & hallway closet & bathroom closet  *Spacious master suite with updated stall shower/updated closet doors *Sliding glass door to the backyard *A row of high trees offer a private backyard w/ expansive patio ideal for entertainment *Close to Downtown Campbell/Santana Row/Valley Fair *Walking distance to numerous restaurants & services *Easy commute via 280/880."
"51","1989000","6","6","House","3966","Carport","2017","Spaich Dr","San Jose","95117","4","0","Beautiful 5 year old single family home conveniently located one mile from Santa Row.  This home was was built by a local high end custom builder and is in a small community which consists of 4 homes.  High end finishes are included throughout this home and include a gourmet kitchen with stainless steel gas appliances with quartz and granite countertops.  The entire first floor includes hardwood floors and has a powder room as well.  The large family room includes a fireplace and opens up to the kitchen and dining area making this an ideal floor plan for modern living.  Upstairs are 3 bedrooms including a spacious master suite with a large walk in closet and 5 piece master bath with a custom tiled shower.  The laundry room is also conveniently located upstairs by the bedrooms.  The backyard is well appointed with pavers as well as turf.  This property also has a tankless water heater and AC.  Do not miss out on your chance to purchase this almost new home in this premium location."
"52","569000","2","2","Condo","922","Parking garage","1985","530 Holly Hock Ct","San Jose","95117","2","0","This house is conveniently located in the center of Silicon Valley.  It's only 4 miles to the Apple Worldwide HQ, 1.5 miles from Westgate Shopping Center, 2.5 miles from Santana Row and Valley Fair.  It's also easy access to all major super markets such as Wholefood, Sprouts Farmers Market, Trader Joe's, Safeway, Target, CVS, and etc. Beautifully rebuilt in 2012, this house features two master suites, one upstairs, one downstairs.  Upstairs also features a bright, large living for family enjoyment.  Downstairs features chef style gourmet kitchen with breakfast bar, stainless appliances, granite countertop, etc. Open style formal dining area in conjunction with the kitchen makes it a great area in the house to entertain family and friends. Large front yard and backyard, paved driveway."
"53","619000","1","1","Condo","712","Carport","1998","491 Holly Hock Ct","San Jose","95117","4","0","Lovingly Maintained and Remodeled Duplex centrally located in West San Jose! Built by Lee Brandenburg, each of the two units have private fenced-in patios with lawns in front and rear for outdoor living  enjoyment.  The front doors open into a landscaped courtyard that provides an open spacious feeling. Nearly identical ideal units with 2 bedrooms and 1 spacious bath in each. Copper plumbing throughout, updated 3-wire electrical including new panels and energy efficient LED lighting, fresh paint and flooring. Features include, dual pane windows, Payne HVAC installed in 2017 providing central forced air heating and air conditioning, with extensive canned lighting in living areas and kitchens. These units each boast oversized garages with automatic door openers, newer washers/dryers and laundry sinks with plenty of storage space. Great location near major freeways, top rated schools, high tech employment, shopping and dining."
"54","950000","2","2","Condo","1309","Parking garage","2007","3392 Yuba Ave","San Jose","95117","2","0","Beautiful two stories townhouse with 1,187sf of living area, 2 spacious master suites and 2.5 Baths, 1 car garage. New carpet, new laminate floors, new paint, quartz counter top, central AC, gas fireplace and plenty of natural light. This turn-key townhouse is close to Harker Academy, Moreland and Campbell schools and a few minutes away from  Santana Row and Valley Fair Mall with easy access to freeways and all that Silicon Valley has to offer."
"55","668302","3","2.5","Townhouse","2120","Carport","2012","999 Daffodil Way","San Jose","95117","1","0","An immaculate West San Jose home located in sought-after area minutes from Santana Row and Valley Fair. This tastefully remodelled home got it all: Gleaming hardwood floors, dual paned windows, recessed lighting, mouldings, designer paint, new HVAC, and much, much more. Beautiful new bathrooms, gourmet kitchen, new roof, new paint. Perfect floor plan providing for a natural flow between living room, family room, and kitchen/dining is ideal for family time and entertainment. Kitchen boasting stainless steel appliances, granite tops, and more. Separate room off of dining ideal for office or playroom. Quaint backyard space with paved sitting/eating area and BBQ. Shed storage with plenty of space in the back. Located near all major Silicon Valley arteries, high-tech companies, shopping, entertainment, Santana Row, Valley Fair, etc."
"56","1480000","3","2","House","1232","Carport","1958","1323 Lexington Dr","San Jose","95117","3","0","$100K PRICE REDUCTION! Impeccable, hard-to-find, 3B/2.5Bth, end unit nestled in a beautiful, sought-after, Merrivale West community. Gleaming floors, stainless steel appliances, new carpet, walk-in closet, and so much more. Perfect floor plan with great room opening to a quaint patio. Lots of natural light throughout. Updated kitchen and baths. Oversized garage with plenty of storage and workshop area. Complex amenities include pool, clubhouse & maintained grounds.  Close to all major traffic arteries (280, 17, San Tomas, etc.), Santana Row, Valley Fair, downtown Campbell, and new Apple campus. Low HOA fees. Top rated schools."
"57","999999","3","2","Condo","1211","Carport","1971","3178 Acorn Way","San Jose","95117","3","0","1 master bed and bath added with permit in the back. huge lot for additional expansion. convenient location to everything quiet inside. Safe neighborhood."
"58","1898000","3","3","House","2021","Carport","1953","418 Bundy Ave","San Jose","95117","5","0","Great opportunity to own this unique mixed 4-flex. Fantastic location less than 10 minutes driving to Santana Row and only a mile from Downtown Campbell's Farmer's Market, Shopping, Parks, Schools, Jobs, easy to Freeways. This four-plex has an excellent unit mix, 1 - 3beds/2baths unit downstairs w/ private front yard. 2 - 2bd/1ba units with covered patio. 1- 2bd/2ba unit upstairs with covered patio. Three full car garages. All units have laminate floor and tile floor. Private on-site shared coin Op laundry."
"59","1398890","3","3","House","1392","Carport","1981","4052 Teale Ave","San Jose","95117","3","0","BRIGHT Upper-level End-unit condo! Valuted ceiling in living room and dining area. Split-level, open floor plan. Living room overlooks open field.Gas fireplace in living room. Build-in wall clock above fireplace. Bedroom on top level with privacy.Two spacious closets with mirror doors.In-unit laundry. Double-pane windows.Wood floors in living room, dining area and staircase. Celing fan in bedroom and kitench. Newer interior paint. Dining area window opens to private gated patio. 1-car garage with WiFi smart garage door openers.Refrigerate, washer and dryer included.Easy access to Highway 280/880/17 and San Tomas Expwy.Walking distance to Mitsuwa Marketplace, Harker middle school. Less than 4 miles to Santana Row,Westfield Valley Fair, Campbell downtown, Main Street Cupertino and Campbell schools"
"60","1198000","2","2","House","1569","Carport","1950","3235 Riddle Rd","San Jose","95117","4","0","$100k price drop! Won't last long at this new price. 4 Units all with 2 bedrooms, 1 bath! Lots of remodeling and rent increases since the seller took ownership. Well maintained 4 plex with brick/stucco/wood exterior. Balcony or patio access on all units for additional fresh air. Newer paint, baseboards, updated sink vanity in some units. Excellent rents with room to increase. Laminate flooring, newer carpet, 4 carport parking spaces with 2 additional assigned spaces. Newer kitchen in some units. Convenient laundry room on site. Prime location in West San Jose and minutes away from Santana Row, Valley Fair, Apple, Highways 280 and 85. Great investment property with great appreciation and cash flow potential for years to come."
